acc	p_1	f_1	r_1
0.9800315291644771	0.8941441441441441	0.8744493392070485	0.8556034482758621
0.9741902834008097	0.8690744920993227	0.8342361863488624	0.8020833333333334
0.9753211629479378	0.8548057259713702	0.8513238289205703	0.847870182555781
0.9735337363175952	0.8592436974789915	0.8346938775510204	0.8115079365079365
0.977533960292581	0.8683602771362586	0.8535754824063565	0.8392857142857143
0.9729328271992078	0.8458149779735683	0.8240343347639485	0.803347280334728
0.9795918367346939	0.8983050847457628	0.8742268041237113	0.8514056224899599
0.9739989599583984	0.8609271523178808	0.8387096774193549	0.8176100628930818
0.9792879150975693	0.9243498817966903	0.8660022148394242	0.8145833333333333
0.9810250044334102	0.9287469287469288	0.8760139049826189	0.8289473684210527
