acc	p_1	f_1	r_1
<<<<<<< HEAD
0.9941210528659867	0.8411633109619687	0.8506787330316742	0.8604118993135011
0.9917007794538215	0.8580246913580247	0.8492871690427699	0.8407258064516129
0.9930823117338003	0.8617021276595744	0.8367768595041322	0.8132530120481928
=======
0.9956879394984742	0.8925233644859814	0.854586129753915	0.8197424892703863
0.9923962875992396	0.8444444444444444	0.8341463414634146	0.8240963855421687
0.9934975615855945	0.8398268398268398	0.8326180257510729	0.825531914893617
0.9934899303308333	0.8197802197802198	0.8135223555070883	0.8073593073593074
0.9900106627756888	0.8295019157088123	0.8295019157088123	0.8295019157088123
0.9925936753885884	0.8684759916492694	0.8455284552845529	0.8237623762376237
0.9947106780672101	0.8874458874458875	0.8604407135362014	0.835030549898167
0.9946393406753702	0.8403361344537815	0.8447729672650476	0.8492569002123143
0.9939318222380867	0.89587852494577	0.8586278586278586	0.8243512974051896
0.992471904070549	0.8827586206896552	0.8458149779735684	0.8118393234672304
>>>>>>> 101dabb781efca596576051e63b0699b08ae67c3
