acc	p_1	f_1	r_1
0.9755537325676784	0.8640167364016736	0.8471794871794872	0.8309859154929577
0.9749871509336988	0.841648590021692	0.841648590021692	0.841648590021692
0.9685441370223979	0.8126159554730983	0.8209934395501406	0.8295454545454546
0.9751530428519986	0.8456659619450317	0.8528784648187634	0.8602150537634409
0.9691815426069383	0.7943548387096774	0.811534500514933	0.8294736842105264
0.9769709194822659	0.8562091503267973	0.8515709642470205	0.8469827586206896
0.9762263519169596	0.8491379310344828	0.8473118279569892	0.8454935622317596
0.9756439460311898	0.8723849372384938	0.8571428571428572	0.8424242424242424
0.9780088646437095	0.8641425389755011	0.8574585635359115	0.8508771929824561
0.9771729587357331	0.88558352402746	0.8561946902654868	0.828693790149893
